"first_author","year_publication","doi","location","country","year","household","definition_contact","definition_contact_me","include","imputed","notes"
"Baron",1983,"PMC2536233","Nzara; Yambio","Sudan (now South Sudan)","1979","1","not direct contact","not direct contact",TRUE,FALSE,NA
"Baron",1983,"PMC2536233","Nzara; Yambio","Sudan (now South Sudan)","1979","1","direct contact + nursing care","nursing care AND direct contact",TRUE,FALSE,"nursing, which includes handling emesis, excreta, and soiled clothing."
"Baron",1983,"PMC2536233","Nzara; Yambio","Sudan (now South Sudan)","1979","1","direct contact but NO nursing care","direct contact but NO nursing care",TRUE,FALSE,"nursing, which includes handling emesis, excreta, and soiled clothing."
"Henao-Restrepo",2017,"10.1016/ S0140-6736(16)32621-6","Basse-Guinée","Guinea","2015-2016","NA","High-risk contacts were defined as being in close physical contact with the patient’s body or body fluids, linen, or clothes","Close contact including body, body fluids, linens etc.",TRUE,FALSE,"body fluid contact includes fomites"
"Henao-Restrepo",2017,"10.1016/ S0140-6736(16)32621-6","Basse-Guinée","Guinea","2015-2016","NA","As below - but not high risk...","Not high risk (contact definition below)",TRUE,FALSE,NA
"Jezek",1999,"10.1086/514293","Sud-Ubangi","DRC","1981-1983","NA","Provided care","Household or non-household contact who DID provide care",TRUE,FALSE,NA
"Jezek",1999,"10.1086/514293","Sud-Ubangi","DRC","1981-1983","0","Did not provide care, only visited the case","Non-household contact who DID NOT provide care",TRUE,FALSE,NA
"Jezek",1999,"10.1086/514293","Sud-Ubangi","DRC","1981-1983","1","Household member who did not provide care","Household contact who did NOT provide care",TRUE,TRUE,"Inferred from the information in the text"
"Reichler",2018,"10.1093/infdis/jiy204","Freetown","Sierra Leone","2014-2015","1","Minimal/indirect contact and did NOT share the same toilet (proxy for fomites)","Minimal/indirect contact",TRUE,TRUE,NA
"Reichler",2018,"10.1093/infdis/jiy204","Freetown","Sierra Leone","2014-2015","1","Shared a bathroom but did not have physical contact or higher exposures","Fomites ONLY",TRUE,TRUE,"Shares toilet is proxy for fomites. Enforced assumed hierarchy on exposure to infer each risk category separately"
"Reichler",2018,"10.1093/infdis/jiy204","Freetown","Sierra Leone","2014-2015","1","Direct physical contact with case but did NOT provide care NOR have contact with body fluids","Direct physical contact with NO nursing care and NO body fluid contact",TRUE,TRUE,"Enforced assumed hierarchy on exposure to infer each risk category separately"
"Reichler",2018,"10.1093/infdis/jiy204","Freetown","Sierra Leone","2014-2015","1","Provided care with NO body fluid exposure","Nursing care NO body fluid contact",TRUE,TRUE,"Enforced assumed hierarchy on exposure to infer each risk category separately"
"Reichler",2018,"10.1093/infdis/jiy204","Freetown","Sierra Leone","2014-2015","1","Body fluid exposure -- includes those who did and did not provide nursing care to index case","Body fluid contact including those who did and did not provide nursing care",TRUE,TRUE,"Enforced assumed hierarchy on exposure to infer each risk category separately"
"Reaves",2014,"PMC5779472","Firestone District","Liberia","2014","NA","High-risk exposure identified as a percutaneous or mucous membrane exposure to, or direct skin contact with blood or body fluids of an Ebola patient or a corpse in Liberia without appropriate PPE","Direct contact with fluids or patient, including handling corpse",TRUE,FALSE,"Dean et al. assumed this was equivalent to providing nursing care (by their definition)"
"Reaves",2014,"PMC5779472","Firestone District","Liberia","2014","NA","Low-risk exposure defined as a household contact that did not involve providing care to an Ebola patient or having close contact with an Ebola patient in healthcare facilities or in the community that was not otherwise characterised as a high-risk exposure","Non-high risk exposure as defined above",TRUE,FALSE,NA
"Dowell",1999,"10.1086/514284","Kikwit","DRC","1995",NA,"Had direct physical contact","Had direct physical contact",TRUE,FALSE,NA
"Dowell",1999,"10.1086/514284","Kikwit","DRC","1995",NA,"Did NOT have direct physical contact","Did NOT have direct physical contact",TRUE,FALSE,"This includes fomite contact"
"Bower",2016,"10.3201/eid2208.160163","Kerry Town","Sierra Leone","2015","1","Handled corpse","Handled corpse",TRUE,FALSE,NA
"Bower",2016,"10.3201/eid2208.160163","Kerry Town","Sierra Leone","2015","1","Handled fluids","Handled fluids",TRUE,FALSE,NA
"Bower",2016,"10.3201/eid2208.160163","Kerry Town","Sierra Leone","2015","1","Minimal/no contact","Minimal/no contact",TRUE,FALSE,NA
"Bower",2016,"10.3201/eid2208.160163","Kerry Town","Sierra Leone","2015","1","Indirect contact combined","Indirect contact combined",TRUE,TRUE,"Combined indirect contact (wet + dry)"
"Bower",2016,"10.3201/eid2208.160163","Kerry Town","Sierra Leone","2015","1","Direct contact combined","Direct contact combined",TRUE,TRUE,"Combined direct contact (wet + dry)"
