"","doubling_time","Nt"
"1",5,456419.213729399
"2",5.1,353505.356231626
"3",5.2,276500.598353205
"4",5.3,218284.332272674
"5",5.4,173840.825806706
"6",5.5,139597.065675075
"7",5.6,112980.501626484
"8",5.7,92120.0816992847
"9",5.8,75641.8250398753
"10",5.9,62527.5075543067
"11",6,52015.9576708939
"12",6.1,43533.4297417968
"13",6.2,36644.0240975588
"14",6.3,31014.063050852
"15",6.4,26386.2735986566
"16",6.5,22560.9228483669
"17",6.6,19381.9249662304
"18",6.7,16726.532137984
"19",6.8,14497.6295705586
"20",6.9,12617.9367686405
"21",7,11025.6143780443
"22",7.1,9670.91460005912
"23",7.2,8513.61157965286
"24",7.3,7521.01849220638
"25",7.4,6666.4486702413
"26",7.5,5928.01479655579
"27",7.6,5287.68695479257
"28",7.7,4730.54998059046
"29",7.8,4244.21507543314
"30",7.9,3818.35143590169
"31",8,3444.31171687921
"32",8.1,3114.83120993012
"33",8.2,2823.78519957884
"34",8.3,2565.99244041361
"35",8.4,2337.05535486774
"36",8.5,2133.2295898124
"37",8.6,1951.31714114913
"38",8.7,1788.5784720465
"39",8.8,1642.65999652706
"40",8.9,1511.5340390374
"41",9,1393.44896017856
"42",9.1,1286.88759514822
"43",9.2,1190.5325122364
"44",9.3,1103.23688502667
"45",9.4,1024
"46",9.5,951.946603528608
"47",9.6,886.30943847029
"48",9.7,826.414438264653
"49",9.8,771.66814147135
"50",9.9,721.54696668322
"51",10,675.588050315722
