definition,contact_class,cases,uninfected,total_contacts
class5_handled_corpse,high_risk,25,19,44
class5_handled_corpse,non_high_risk,99,560,659
class5_handled_corpse,total,124,579,703
class4to5_body_fluid_and_above,high_risk,52,185,237
class4to5_body_fluid_and_above,non_high_risk,72,394,466
class4to5_body_fluid_and_above,total,124,579,703
class3to5_nursing_and_above,high_risk,93,255,348
class3to5_nursing_and_above,non_high_risk,31,324,355
class3to5_nursing_and_above,total,124,579,703
class2to5_direct_physical_contact_and_above,high_risk,114,416,530
class2to5_direct_physical_contact_and_above,non_high_risk,10,163,173
class2to5_direct_physical_contact_and_above,total,124,579,703
