first_author,year_publication,location,label,n_index_cases,n_contacts,exposure_categories,n_exposure_categories
International Commission,1978,Maridi,"International Commission, 1978b",17,232,All,1
International Commission,1978,"Yambuku, Yamisolo and surrounding villages","International Commission, 1978a",146,1103,All,1
Baron,1983,Nzara; Yambio,"Baron, 1983",34,410,No/minimal contact; Indirect contact only; Fomite exposure - no direct physical contact ; Direct physical contact - no fluids and no nursing; Nursing care - no body fluids; Body fluid contact; All,7
Dowell,1999,Kikwit,"Dowell, 1999",27,692,No/minimal contact; Indirect contact only; Fomite exposure - no direct physical contact ; Direct physical contact - no fluids and no nursing; Nursing care - no body fluids; Body fluid contact; All,7
Jezek,1999,Sud-Ubangi,"Jezek, 1999",30,752,No/minimal contact; Indirect contact only; Fomite exposure - no direct physical contact ; Direct physical contact - no fluids and no nursing; Nursing care - no body fluids; Body fluid contact; All,7
Francesconi,2003,Gulu District,"Francesconi, 2003",27,89,All,1
Reaves,2014,Firestone District,"Reaves, 2014",71,1006,No/minimal contact; Indirect contact only; Fomite exposure - no direct physical contact ; Direct physical contact - no fluids and no nursing; Nursing care - no body fluids; Body fluid contact; Handled corpse; All,8
Bower,2016,Kerry Town,"Bower, 2016",123,1711,No/minimal contact; Indirect contact only; Fomite exposure - no direct physical contact ; Direct physical contact - no fluids and no nursing; Nursing care - no body fluids; Body fluid contact; Handled corpse; All,8
Henao-Restrepo,2017,Basse-Guinée,"Henao-Restrepo, 2017",144,1879,No/minimal contact; Indirect contact only; Fomite exposure - no direct physical contact ; Direct physical contact - no fluids and no nursing; Nursing care - no body fluids; Body fluid contact; Handled corpse; All,8
Reichler,2018,Freetown,"Reichler, 2018",150,1985,No/minimal contact; Indirect contact only; Fomite exposure - no direct physical contact ; Direct physical contact - no fluids and no nursing; Nursing care - no body fluids; Body fluid contact; All,7
Gayedyu-Dennis,2023,Multiple (7 of 15 counties in Liberia),"Gayedyu-Dennis, 2023",990,1909,All,1
