"","first_author","year_publication","doi","location","country","year","definition_contact_me","include","imputed","notes"
"1","Baron",1983,"PMC2536233","Nzara; Yambio","Sudan (now South Sudan)","1979","not direct contact",TRUE,FALSE,NA
"2","Baron",1983,"PMC2536233","Nzara; Yambio","Sudan (now South Sudan)","1979","direct contact + nursing care",TRUE,FALSE,NA
"3","Baron",1983,"PMC2536233","Nzara; Yambio","Sudan (now South Sudan)","1979","direct contact but NO nursing care",TRUE,FALSE,NA
"4","Baron",1983,"PMC2536233","Nzara; Yambio","Sudan (now South Sudan)","1979","All",TRUE,FALSE,NA
"5","Henao-Restrepo",2017,"10.1016/ S0140-6736(16)32621-6","Basse-Guinée","Guinea","2015-2016","High-risk contacts were defined as being in close physical contact with the patient’s body or body fluids, linen, or clothes",TRUE,FALSE,"body fluid contact includes fomites"
"6","Henao-Restrepo",2017,"10.1016/ S0140-6736(16)32621-6","Basse-Guinée","Guinea","2015-2016","As below - but not high risk...",TRUE,FALSE,NA
"7","Henao-Restrepo",2017,"10.1016/ S0140-6736(16)32621-6","Basse-Guinée","Guinea","2015-2016","Contacts were defined as individuals who lived in the same household, visited or were visited by the index case after the onset of symptoms, provided him or her with unprotected care, or prepared the body for the traditional funeral ceremony.",TRUE,FALSE,NA
"8","Jezek",1999,"10.1086/514293","Sud-Ubangi","DRC","1981-1983","Household or non-household contact who DID provide care",TRUE,FALSE,NA
"9","Jezek",1999,"10.1086/514293","Sud-Ubangi","DRC","1981-1983","Non-household contact who DID NOT provide care",TRUE,FALSE,NA
"10","Jezek",1999,"10.1086/514293","Sud-Ubangi","DRC","1981-1983","All",TRUE,FALSE,NA
"11","Jezek",1999,"10.1086/514293","Sud-Ubangi","DRC","1981-1983","Household contact who did NOT provide care",TRUE,TRUE,"Inferred from the information in the text"
"12","Reichler",2018,"10.1093/infdis/jiy204","Freetown","Sierra Leone","2014-2015","All contacts",TRUE,FALSE,NA
"13","Reichler",2018,"10.1093/infdis/jiy204","Freetown","Sierra Leone","2014-2015","Minimal/indirect contact",TRUE,TRUE,NA
"14","Reichler",2018,"10.1093/infdis/jiy204","Freetown","Sierra Leone","2014-2015","Fomites ONLY",TRUE,TRUE,"Shares toilet is proxy for fomites. Enforced assumed hierarchy on exposure to infer each risk category separately"
"15","Reichler",2018,"10.1093/infdis/jiy204","Freetown","Sierra Leone","2014-2015","Direct physical contact with NO nursing care and NO body fluid contact",TRUE,TRUE,"Enforced assumed hierarchy on exposure to infer each risk category separately"
"16","Reichler",2018,"10.1093/infdis/jiy204","Freetown","Sierra Leone","2014-2015","Nursing care NO body fluid contact",TRUE,TRUE,"Enforced assumed hierarchy on exposure to infer each risk category separately"
"17","Reichler",2018,"10.1093/infdis/jiy204","Freetown","Sierra Leone","2014-2015","Body fluid contact including those who did and did not provide nursing care",TRUE,TRUE,"Enforced assumed hierarchy on exposure to infer each risk category separately"
"18","Francesconi",2003,"10.3201/eid0911.030339","Gulu District","Uganda","2000-2001","All contacts",TRUE,FALSE,NA
"19","Reaves",2014,"PMC5779472","Firestone District","Liberia","2014","All contacts",TRUE,FALSE,NA
"20","Reaves",2014,"PMC5779472","Firestone District","Liberia","2014","Direct contact with fluids or patient, including handling corpse",TRUE,FALSE,"Dean et al. assumed this was equivalent to providing nursing care (by their definition)"
"21","Reaves",2014,"PMC5779472","Firestone District","Liberia","2014","Non-high risk exposure as defined above",TRUE,FALSE,NA
"22","Dowell",1999,"10.1086/514284","Kikwit","DRC","1995","All",TRUE,FALSE,NA
"23","Dowell",1999,"10.1086/514284","Kikwit","DRC","1995","Had direct physical contact",TRUE,FALSE,NA
"24","Dowell",1999,"10.1086/514284","Kikwit","DRC","1995","Did NOT have direct physical contact",TRUE,FALSE,NA
"25","International Commission",1978,"https://iris.who.int/bitstream/handle/10665/261733/PMC2395567.pdf","Yambuku, Yamisolo and surrounding villages","DRC (Zaire at the time)","1976",NA,TRUE,FALSE,NA
"26","International Commission",1978,"PMC2395561","Maridi","Sudan (now South Sudan)","1976","All contacts",TRUE,FALSE,NA
"27","Bower",2016,"10.3201/eid2208.160163","Kerry Town","Sierra Leone","2015","Handled corpse",TRUE,FALSE,NA
"28","Bower",2016,"10.3201/eid2208.160163","Kerry Town","Sierra Leone","2015","Handled fluids",TRUE,FALSE,NA
"29","Bower",2016,"10.3201/eid2208.160163","Kerry Town","Sierra Leone","2015","Direct wet contact",TRUE,FALSE,NA
"30","Bower",2016,"10.3201/eid2208.160163","Kerry Town","Sierra Leone","2015","Direct dry contact",TRUE,FALSE,NA
"31","Bower",2016,"10.3201/eid2208.160163","Kerry Town","Sierra Leone","2015","Indirect contact",TRUE,TRUE,"Combined all the indirect exposures into one category"
"32","Bower",2016,"10.3201/eid2208.160163","Kerry Town","Sierra Leone","2015","Minimal/no contact",TRUE,FALSE,NA
