filename,date_data,date_publication,alert,alert_under_investigation,cases_confirmed,cases_suspected,deaths_confirmed,deaths_suspected,deaths_hcw,beds_confirmed,beds_suspected,tested,undergoing_testing,isolated,not_isolated,recoveries,contacts,contacts_fu_today,region,districts,page,notes
SitRep_MVE_001-2026,14/05/2026,15/05/2026,261,,8,246,4,55,4+,ND,ND,,,,,ND,82+,,Ituri,"Mongbwalu, Bunia et Rwampara",1,
SitRep_MVE_002-2026,17/05/2026,18/05/2026,340,336,13,246,ND,100,4,ND,ND,,,,,0,,,Ituri,"Mongbwalu, Bunia et Rwampara",1,
SitRep_MVE_002-2026,17/05/2026,18/05/2026,256,256,0,57,,,,,,7,0,3,,,,,,ZS Mongbwalu,3,
SitRep_MVE_002-2026,17/05/2026,18/05/2026,72,72,13,27,,,,,,25,5,5,,,,,,ZS Rwampara,3,
SitRep_MVE_002-2026,17/05/2026,18/05/2026,12,8,0,3,,,,,,0,6,4,,,,,,ZS Bunia,3,
SitRep_MVE_004-2026,19/05/2026,20/05/2026,,,33,ND,4,,,ND,ND,,,,,0,457,,Ituri; Nord-Kivu,"Mongbwalu, Rwampara, Bunia, Nyankunde, Goma, Katwa et Butembo",1,
SitRep_MVE_004-2026,19/05/2026,20/05/2026,,,1,302,,74,,,,,,,,,161,,Ituri,Mongbwalu,3,
SitRep_MVE_004-2026,19/05/2026,20/05/2026,,,18,136,,38,,,,,,,,,120,,Ituri,Rwampara,3,
SitRep_MVE_004-2026,19/05/2026,20/05/2026,,,6,61,,18,,,,,,,,,127,,Ituri,Bunia,3,
SitRep_MVE_004-2026,19/05/2026,20/05/2026,,,4,14,,1,,,,,,,,,133,,Ituri,Nyankunde,3,
SitRep_MVE_004-2026,19/05/2026,20/05/2026,,,1,1,,0,,,,,,,,,ND,,Nord-Kivu,Goma,3,
SitRep_MVE_004-2026,19/05/2026,20/05/2026,,,1,1,,0,,,,,,,,,ND,,Nord-Kivu,Katwa,3,
SitRep_MVE_004-2026,19/05/2026,20/05/2026,,,1,1,,0,,,,,,,,,ND,,Nord-Kivu,Butembo,3,
SitRep_MVE_004-2026,18/05/2026,20/05/2026,16,16,,,,6,,,,10,,9,1,,,,Ituri,Bunia,4,
